,text,codes
10,"Democrats are convicting President Trump because they don’t want to face him at the ballot box.

This is what you would see in Communist China and the Soviet Union.

Now, you are seeing it in Joe Biden’s America.",[0]
11,"While Kamala Harris was wrongly locking up Black Men in CA, keeping them beyond their release dates and hiding evidence. She also threatened to jail Black Mothers in CA. But, TRUMP was focused on getting them released like, Lil Wayne, Kodak Black, Alice Johnson and the THOUSANDS that were FREED under Trump's First Step Act, from Federal Prison...
Vote Trump...",[10]
12,"TRUMP-VOTERS: DON’T FOOL YOURSELVES ABOUT THE CONSEQUENCES OF RE-ELECTING HIM. THE BENEFIT OF THE DOUBT RUNS OUT WHEN A CHOICE IS CONFIRMED
That goes for personal relationships and it goes for the way the US is seen by people around the world. You Trump-voters have been on a 10-year journey to reconcile yourselves with violating your own standards for personal gain. And you have a lot of fellow travelers on the same train to make you feel validated in your choice. It’s easy for many of you to ignore or dismiss how your journey is viewed by the people who aren’t on it with you. But the rest of us have not spent 10 years trying to rationalize Trump. We’ve been looking on with the same disgust we felt for him all along, and for the spectacle of watching you talk yourselves into a Faustian bargain by demonizing all the rest of us.

Trump’s loss in 2020 meant that all of us could let bygones be bygones for the sake of getting along with loved ones and other people in our lives. But then you let the scumbag back in. And if you vote for him again after all the shit he did in office, after trying to overturn the 2020 election and after all the repulsive shit he’s said and done since then, the message received by everyone outside of your self-deluding bubble is going to be a thousand times worse than it was in 2016 or even 2020. It will be a confirmation.

This is not a threat – it’s the weary foresight of knowing how it feels to see people make an “eff-you” choice in full knowledge of the consequences for others. Like watching a loved one return to a relationship-harming habit, listening to their rationalizations for indulging themselves again … It’s one thing to make a mistake. It’s quite another to ratify it again later.

That’s a personal angle, but the same thing goes for the view of the US around the world. People across the world shook their heads in 2016 and looked on with dismay and disbelief as Trump destabilized every institution of world affairs and raised doubts about US commitments in a way that no president had done in living memory, all while acting like a brash ignoramus who didn’t care what anyone thought. When Biden was elected in 2020, the world could interpret 2016 as a hair-raising fluke and see Biden’s recommitment to the institutions the US anchors as a reaffirmation of the stability of the US itself and as a reliable actor in the world.

Re-electing Trump will be a permanent knockout blow for the belief of people and countries around the world that they know what the US stands for. That is just a fact. Trump repudiated the US-established, rule-based world order in favor of bi-lateral power relations. That plainly overthrows what the world previously expected of the US, and confirming it will turn the chaotic exception into the new rule.

And he demonstrated something even more destructive – that the rule of law doesn’t even apply domestically under Trump. He views himself as a king and will lay waste to our system of government if that’s what it takes to enact his will and launder his crimes. He has already done so.

What does it mean for the world to see a USA that not only disregards its own rules on the international stage – which it has always done selectively, while still maintaining the rule-based order in general – but now doesn’t even apply the rule of law internally? Trump willingly conceded to all the Putins and Xis and Kims of the world, who say that the US is just a hypocrite that talks about laws and human rights only out of self-interest, that they were right all along. He puffed out his chest and boasted of it – you think we’re such angels?

No, we were never angels, but we had laws. It was not just a show – the rule of law matters to us. “We the people” … actually believe that our constitution gives us rights and protections that no one has the right to take away. It’s the whole fucking idea.

Trump destroys that by telling all of us, everywhere in the world, that our rights and protections depend only on our proximity to power. It’s the antithesis of everything the US has ever claimed to represent.

His first term was a wake-up call, to Americans and to the rest of the world. This could happen. You could wake up one day and suddenly find that the biggest country that claims to stand for the rule of law and for human rights (never mind its shortcomings – it remained a work in progress) and stands as a bulwark against authoritarianism … is itself now a scofflaw that gives succor to dictators and strikes fear into the hearts of ALLIES.

This, Trump-voters, is what your vote to re-elect him will mean to the rest of us who don’t live in your alternate reality of self-serving bullshit. That you are A-OK with that litany of destruction and all of his promises to treat other people like “vermin” as long as you think the lifetime scam artist is going to deliver for you.

There’s no mulligan this time. If you don’t know better now, it’s because you don’t want to. There are no excuses left for you. There’s no going back when you’ve watched the shit play out over 10 years and heard the appeals of the people around you and decided you didn’t care. It’s a message that we will take to heart whether we want to or not, because it’s going to cost us and you didn’t give a damn.",[0]
13,"People try to be shitty with me my whole life.

They think Asperger’s is a weakness.

It’s not.

I don’t get bullied.

I’m not that kind of autistic

Sorry to disappoint you.

I’m the genius kind that’s good at everything.

I’m the kind that perfects everything I touched.

I’m the 6’3” kind that can send you to your grandmother.

Marine: aced it
Police officer: aced it
Union president: aced it
Grappler: the best you ever met
Wrestler
Striker
Shooter
Trained killer
Operator
Driver
Negotiator
Fearless battle buddy
Leader
Silver tongue
A dick that has everyone coming back
I’ve done more in one year of my life than most of you will ever do.
I’ve won national sales contests, started divisions within companies, amused the world as a satire Trump so comical it was stolen by Colbert.
I’ve secretly paid my kids $10K each since they got bank accounts over a decade ago and let a fake child support claim just sit on my credit report, just to make her looo bad later. I let people lie. Then catch them!
I’ve negotiated and won for thousands of people.
I served my country.
I have 5 medals.
I don’t lie, because lying is for cowards afraid of your reaction.
I am not afraid of your reaction.
I will tell you the truth and ask you what the fuck you gonna do about it?
You think I’m scared to tell the truth?
Fuck your opinion.
Seriously.
Your opinion means literally, not figuratively, nothing.",[0]
14,"ATTENTION: This election is close and you could make the difference! Please take a moment to read some facts about Kamala Harris and then share this post with your friends>>>>

FACTS:

1) Harris backed downgrading illegal border crossings to a civil offense, weakening our defenses against serious criminals.

2) Under Harris, illegal immigrant crime has spread across the nation, with skyrocketing rates of theft, assault, and even murder.

3) As a Senator, Kamala Harris tried to take $220 million out of ICE’s Enforcement Division.

4) The cost of everyday household items has surged nearly 20% under Kamala’s watch, with families now paying as much as 50% more at the gas pump.

5) Consumer prices have soared by 19.5% since Harris took office, a staggering 350% increase compared to Trump's tenure, revealing the depth of economic deterioration under her leadership.

America deserves better than Kamala Harris' failed policies.

Learn more at and see for yourself her record!",[29]
15,"If I asked you “pizza or burgers” for lunch and you said, “it doesn’t matter” that means you are okay with either choice. Right?

Rep. Dusty Johnson hasn’t picked or endorsed Trump for President yet. So this means he doesn’t care who wins, right?

Dusty Johnson why are you supporting Kamala Harris to become our next President?

#Trump2024",[24]
16,"Governor Noem has officially been selected the secretary of the DHS by the Trump administration.

If her appointment is confirmed by the Senate, Larry Rhoden will take over as Governor for the remainder of her term.

Thoughts?",[0]
17,"FOR SALE, TRUMP FERTILIZER: I sell the best SH_T in the world",[0]
18,"🚨 Important Update! 🚨

As a candidate for U.S. Congress from Virginia's 10th district and a dedicated advocate for sensible policies, I've been closely studying the behavior of MAGA radicalized Republicans. It's become clear that these extremists have been heavily influenced, even brainwashed, by Russian tactics through Trump. This disturbing trend can be seen in the stark difference between their comments on my posts versus those from Democrats and civilized Republicans.

This manipulation undermines our democracy and the values we stand for as Americans. It's crucial to recognize and address this issue head-on to protect our nation from further division and foreign interference.

💪 I am committed to fighting for truth, integrity, and unity. Together, we can expose and counteract these extremist influences.

#ProtectDemocracy #FightForTruth #UnityOverDivision #SayNoToExtremism #PublicSafetyOverPolitics #StandAgainstManipulation #AmericanValues #VirginiaPolitics #VA10 #Elections2024 #VoteForChange #DemocracyFirst

Let's ensure our voices are heard! Share this message and join me in this critical fight for our country's future. 🇺🇸

#NYTimes #CNN #MSNBC #WashingtonPost #NBCNews #ABCNews #CBSNews #NPR #BBCNews #TheGuardian #Reuters #APNews #HuffPost #Politico #USA TODAY #TheHill #VOANews",[0]
19,"TRUMP IS MENTALLY INCOMPETENT, MORALLY REPUGNANT AND A CRIMINAL – SO WHY AREN’T WE SAILING TO VICTORY? -- LOOK TO HISTORY
This election has an historic edge to it not only because Trump is historically awful and menacing. It’s also one of history’s potential turning points. Seeing similar currents around the world tells us that we are not just dealing with the domestic trends we observe, but something deeper and more fundamental. It is no coincidence that these echoes of the fascist past – and don’t dismiss the parallels: the path to nationalist bloodshed starts with words and the capture of institutions, not massacres – are crescendoing now, just as the living memory of WWII is dying away.

This blood-and-soil bullshit is an ineradicable, but deflectable, urge of human existence that lies dormant in the dark heart of humanity until the passage of generations has sufficiently blunted the memory of it and there is no one left – at least no one who still has any influence – who recognizes the early shoots of its return. People fall prey to it again and again not because they don’t care – it happens because they don’t believe it is happening until it’s well under way.

We are well past the beginning of it already when a person who whips up hatred as a tool of politics has held the presidency in this country, and who, with a phalanx of opportunists and toadies, is preparing to seize and permanently change our institutions. Like-minded figures, who all support each other and work to erode the domestic and international impediments to their transformative abuse of power, are in position around the world – a mutual admiration and support society of dictators and wannabes. Putin, Orbán, the rising nationalists throughout Europe, the goons around the world who regard human rights as an affront to their patriarchal sense of entitlement.

Joe Biden is one of the few world leaders left who is old enough to have grown up in the immediate aftermath of the war, and that has made him an invaluable leader in managing the threat of Russia, maintaining the NATO deterrent and understanding the undercurrents of world affairs. Trump, meanwhile, who grew up in the same period, has demonstrated how ignorant and useless he is – a man who could have known better, but whose lifelong dedication to learning and honing only what was necessary to feeding his own desires has instead cultivated an incorrigible stupidity and recklessness regarding everything that he was uninterested in learning about.

Joe Biden knows what the stakes are here, perhaps better than most of those who would replace him, though they are students of the same history even if their connection to it is more academic. But that wisdom should also tell him that many of the fateful decisions that led to disaster in the past were made by people who miscalculated in spite of being capable of knowing better. He should know that his value is in making the right decision, not being “the right person.” In 2020 the right decision was to be the person who was needed. Now the right decision is to see that he himself is putting the cause at risk.

In the end it will be up to us to make this moment a near miss instead of one of history’s calamitous turning points. The ancient elixir of intergroup hatred that is the basis of Trump’s appeal never leads to anything but violence in the end.

If Biden stays in the race, we’re going to have to work all the harder to win. And if he hands off to another ticket, it won’t be easy anyway. Either way, there is only one option compatible with our duty to avert disaster: VOTE FOR THE ONLY OPTION THAT WON’T GIVE US TRUMP: DEMOCRATS.",[0]
20,🚨Two big stories tonight🚨. Red Cross volunteer fired for what he thinks are his pro Trump social media posts and migrants strecthing thin the resources of a small Pennsylvania town. Learn how to see them below ⬇▶,[29]
21,"If I asked you “pizza or burgers” for lunch and you said, “it doesn’t matter” that means you are okay with either choice. Right?

Rep. Dusty Johnson hasn’t picked or endorsed Trump for President yet. So this means he doesn’t care who wins, right?

Dusty Johnson why are you supporting Kamala Harris to become our next President?

#Trump2024","[27, 29]"
22,"Democrats: ""I'm not excited about Biden, but I hate and fear Trump""
Response: ""You should be more afraid of Big Foot, Aliens, the Loch Ness Monster before you are afraid of Trump""",[24]
23,Donald Trump never conceded.,[16]
